company_name,gmaps_rating,gmaps_reviews,gmaps_status,gmaps_category
ლეველი +,5.0,0,found,სამშენებლო კომპანია
მაი მასტერ,5.0,0,open,
პარტნიორი კაპიტალ,5.0,0,found,სამშენებლო კომპანია
რ-ჯგუფი,5.0,0,found,
ტაჰა 14,5.0,0,open,სამშენებლო კომპანია
ჯი ემ ბილდ,5.0,0,open,
ალ შედდადი,4.7,0,open,უძრავი ქონების დეველოპერი
ასტორია გრუპი,4.3,0,found,
იდეალ ჰაუსი,4.6,0,open,
კაია ქონსთრაქშენი,5.0,0,open,
იბერია სტარ გრუპი,5.0,0,found,
ლგე ბილდინგ,4.7,0,open,
მაქს ჰოლდინგი,5.0,0,open,სამშენებლო კომპანია
მწვანე სახლი ვაზისუბანი,,0,not_found,
ნიუ ლენდ,5.0,0,open,სამშენებლო კომპანია
შალვა მერებაშვილი,5.0,0,found,სამშენებლო კომპანია
Art Avenue,5.0,0,open,
დი ბი ეს ჯგუფი,5.0,0,found,სამშენებლო კომპანია
ოპიზერს,5.0,0,found,სამშენებლო კომპანია
აისიეი ჯგუფი,5.0,1,found,
ბაუ სტარ–ვ,5.0,0,open,
ნექსთ დორ,,0,open,
ლივიო,5.0,0,found,სამშენებლო კომპანია
Capital lnvest,4.6,0,found,
ალია-ისრაელ-ჯორჯიან დეველოფმენთ გრუპ,5.0,0,found,
პატრიოტი,4.1,0,open,
სკალა ფიტ-აუთ გრუპი,5.0,0,found,სამშენებლო კომპანია
ინნ დეველოპმენტი+,4.9,10,found,
რენოვა ჯორჯია 2023,5.0,0,open,contractor
ABEKA,5.0,0,found,
ქართული სამშენებლო ჯგუფი,5.0,0,found,სამშენებლო კომპანია
კერა+,5.0,0,found,სამშენებლო კომპანია
კოლიზიუმი ჯგუფი,4.7,207,found,
ივერიამშენ პლუსი,5.0,0,found,სამშენებლო კომპანია
ჯორჯიან ენერჯი გრუპ,4.8,0,open,
იმეკს,5.0,0,found,სამშენებლო კომპანია
თისა,5.0,0,found,სამშენებლო კომპანია
ემ პროექტი,5.0,0,found,სამშენებლო კომპანია
არქიტრავი,5.0,0,found,სამშენებლო კომპანია
თი ემ ჯი გრუპი,5.0,0,open,
ბანი,5.0,0,open,
ევრობლოკი,5.0,0,found,
ენ სისტემს,5.0,0,found,სამშენებლო კომპანია
იმერეთმშენი–2000,5.0,0,found,სამშენებლო კომპანია
ლუკა,4.3,0,open,
პალადა,,0,not_found,
სპექტრი,5.0,0,found,სამშენებლო კომპანია
შე–ლი–1981,5.0,0,open,
შპს T–K Tuzcuoglu Keskin Insaat–ის საქართველო–ბათუმის ფილიალი,5.0,0,found,სამშენებლო კომპანია
MJM group,,0,not_found,
ბიგ ჯორჯია,5.0,0,open,უძრავი ქონების დეველოპერი
ბილდარტ დეველოპმენტი,5.0,0,found,სამშენებლო კომპანია
ბურჯი,5.0,32,found,
ერკერი,5.0,0,open,უძრავი ქონების დეველოპერი
მშენებელი,5.0,0,open,
სამშენებლო ტრესტი №3,5.0,0,open,სამშენებლო კომპანია
სერგი ბილდინგი,5.0,0,found,სამშენებლო კომპანია
სპეცინჟმშენი,5.0,0,found,სამშენებლო კომპანია
ჰორიზონტი,5.0,2,found,
საბა და კომპანია,5.0,1,found,
საქჰიდროენერგომშენი,5.0,0,found,სამშენებლო კომპანია
აგროინვესტ კომპანია,5.0,0,open,
დ. და გ. სამშენებლო კომპანია,5.0,0,found,სამშენებლო კომპანია
იდეალ დეველოპმენტი,5.0,3,found,
მირაჟი–ო,,0,not_found,
ბამი +,5.0,0,open,უძრავი ქონების დეველოპერი
ანრი,4.8,0,open,სამშენებლო კომპანია
სამშენებლო კომპანია,5.0,0,found,სამშენებლო კომპანია
წარმატების სახლი,5.0,0,open,უძრავი ქონების დეველოპერი
რეზიდენს პალასი,5.0,0,open,სამშენებლო კომპანია
ელიტ დეველოპმენტი,5.0,0,open,უძრავი ქონების დეველოპერი
კარკასი,5.0,0,found,სამშენებლო კომპანია
კავიანი 2015,3.0,1,found,
ატრიუმი,5.0,0,open,
დავიდე,4.5,2,found,
კენან ინშაატ და ტიჯარატ-ის ფილ.საქარ. კენან ინშაატ და ტიჯარატ ჯორჯია,5.0,0,open,სამშენებლო კომპანია
ბეთა,5.0,0,open,სამშენებლო კომპანია
ევრომშენი,5.0,0,open,სამშენებლო კომპანია
ვანტი,5.0,0,found,სამშენებლო კომპანია
მშენი,5.0,0,found,სამშენებლო კომპანია
სეგევ,5.0,0,open,
ციტადელი,4.6,23,found,
არქსტუ–დია,5.0,0,found,სამშენებლო კომპანია
ელიტ–ჰაუზი,5.0,0,open,სამშენებლო კომპანია
